region,seed,team,1st,2nd,sweet,elite 8,final 4,champ,win
East,1,Villanova,1,0.987632001748,0.803221306689,0.589206003986,0.401737091759,0.241125213558,0.149953842962
West,1,Gonzaga,1,0.976795630681,0.840203278311,0.595332929001,0.414664016514,0.229399633456,0.13847996946
Midwest,1,Kansas,1,0.979612036046,0.80557280142,0.556596438875,0.380299150086,0.212211901047,0.103890499091
South,2,Kentucky,1,0.966806378802,0.68192340728,0.474828915467,0.302249842676,0.168237626264,0.081807350751
South,1,North Carolina,1,0.979275339496,0.798724712655,0.579841979626,0.298548915726,0.154792229795,0.069972957665
East,2,Duke,1,0.966903494344,0.77986968716,0.510116107073,0.236574933872,0.12211405819,0.066660797638
Midwest,2,Louisville,1,0.973818118503,0.668185522471,0.465179386547,0.216097350359,0.110822048062,0.049736747758
West,2,Arizona,1,0.952501634965,0.568275077644,0.392453361664,0.161012216087,0.079675081501,0.043955030744
West,4,West Virginia,1,0.901829515036,0.645600990468,0.25600598144,0.146890204241,0.067773822183,0.03533303494
South,3,UCLA,1,0.941723642576,0.61453888774,0.208319786583,0.097548959503,0.052713170727,0.02485954293
East,5,Virginia,1,0.844766911501,0.49157769056,0.178718248947,0.095957030872,0.047313097802,0.024829884468
West,7,Saint Mary's (CA),1,0.737770787658,0.350551671732,0.257520481904,0.117770504604,0.046161800817,0.021078897482
Midwest,4,Purdue,1,0.859696311013,0.506128913056,0.196615653959,0.106255355754,0.049423484122,0.020099202582
South,10,Wichita State,1,0.692358309471,0.244216762846,0.149894118977,0.083845937222,0.04374801393,0.019903767737
East,6,Southern Methodist,1,0.789641696307,0.456299666333,0.19790373503,0.071711275903,0.03362927079,0.016904120247
Midwest,5,Iowa State,1,0.83087963062,0.419265450409,0.165322582089,0.090313293305,0.041477263396,0.016654491228
East,3,Baylor,1,0.903498884911,0.460614314735,0.188426522511,0.064282634939,0.028869538874,0.013981917848
Midwest,3,Oregon,1,0.922453144793,0.612530910515,0.210819509714,0.065982422402,0.029510769901,0.011540625553
South,4,Butler,1,0.890205906066,0.620125611105,0.231390822307,0.086281939129,0.03298443953,0.011023811185
East,4,Florida,1,0.874918052377,0.443570125101,0.126505910179,0.057340558778,0.023554631132,0.010564921073
West,3,Florida State,1,0.875459337424,0.619948031905,0.22357992729,0.069806578734,0.024619697152,0.010309221563
South,6,Cincinnati,1,0.627992312948,0.258161872287,0.101708915376,0.053018996819,0.023916960307,0.009401519555
East,8,Wisconsin,1,0.789798040939,0.176214196887,0.091755651982,0.044102419263,0.019314220584,0.009153820938
Midwest,7,Michigan,1,0.633435389742,0.229701754006,0.136026185555,0.05006435897,0.02132403061,0.007944688185
West,5,Notre Dame,1,0.754708167214,0.276810125446,0.082734021215,0.038876176976,0.014374156817,0.006257399573
Midwest,6,Creighton,1,0.560859158665,0.219366215263,0.082632247491,0.028122710754,0.010679373557,0.003554227056
Midwest,10,Oklahoma State,1,0.366564610258,0.09996370017,0.057101230454,0.020032276899,0.008217015256,0.002949715924
Midwest,8,Miami (FL),1,0.551241404307,0.111588464088,0.040975026465,0.015984554481,0.005821238964,0.001859809763
South,8,Arkansas,1,0.505738239006,0.101191930091,0.053221267147,0.017318660989,0.005918175836,0.001774559915
West,9,Vanderbilt,1,0.545707184069,0.089275728202,0.032689651797,0.012532032674,0.003773357545,0.00138565857
